title,description,creator,date,subjects,source,orig-id,rights,type,format,object-id
Spirit Control,"Typescript of an article in which Robinson defines what he calls 'Spirit Control,' the ability to control the Spirit of God once you have realized it lives in and throughout you. Robinson discusses the benefits and conditions under which one lives their life once they realize they have 'Spirit Control.'","Robinson, Frank B.",1939-12-28,Wealth and Success; Spirit of God; Spirit Control,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_B5_F40_049,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,51
Good News - Purpose of the Program,"Radio program episode outlines the purpose of the 'Good News' radio program, to broadcast positive and peaceful things rather than negative. Episode includes organ music and songs sung by Al Marino, jokes made in the face of war, and urges listeners to buy quality-made products for better piece of mind.",,1947,Peace; Good News; Quality Products; World War; Organ,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Good_News_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,52
Comprehending the Deity,"Typescript of an article responding to a quote from Don D. Tullis on the nature of 'knowing God.' Robinson discusses the failure of Christianity to suggest that people cannot know or communicate with God, while Psychiana teaches that you can in fact know and talk to God directly.","Robinson, Frank B.",1939-10-19,Talking with God; God on Earth; Church in Decline; Christianity,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_B5_F40_033,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,53
Good News,"Radio program corresponding with transcript of Radio Psychiana - Series for Dr. Frank B. Robinson No. 3. Episode begins proclaiming the growth of Pyschiana and then takes listeners to Robinson's home in Moscow, Idaho, describing its appearance. A dialogue begins between a 'guide' and Robinson about miracles, healing, the God-Law, the mail Robinson receives, and the 'Life Impulse' or 'motivating spirit' that allows people to think and live with God.",The Izzard Company,1947,God-Law; Life Spirit; Mircales; Healing; Sudent Letters; Testimonials,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Good_News_09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,54
Good News - Man's Quest,"Radio program episode discusses man's quest for answers, then introduces Robinson and his concept of the Cosmic God-Power. Robinson discusses the God-Power, reads a student letter asking for help, and uses the discovery of the 'cosmic ray' by Professor Milikan as evidence that there is invisible power around us. Robinson claims this Power is for our use and can bring anyone what they desire. Also includes a testimonial from a man claimed to live in Holland.",,1947,God-Power; Cosmic Rays; Science and Technology; Student Letters; Hardship; Material Abundance; Testimonials,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Good_News_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,55
Quiet Talks With God - Always Its God,"Quiet Talks With God included a series of 101 newspaper columns written by Frank B. Robinson to communicate teachings of Psychiana. Column 61,'Always It's God,' addresses the Four Freedoms speech by Roosevelt and maintains that these goals are not possible without the power of God through man. This article is a typescript not formatted for newspaper columns.","Robinson, Frank B.",1941,World War; Roosevelt; Psychiana Teachings,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f20_l,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,56
Good News,"Radio program corresponding with transcript Radio Psychiana - Series for Dr. Frank B. Robinson No. 4. Episode begins with 'guide' leading listeners to Robinson's house where Robinson plays his organ. Robinson uses a metaphor of being lost at sea and the term 'misfit' to describe those who don't have access to the God-Power. Robinson then reads testimonials from students who have acquired happiness and all the desires they seek by finding the God-Power, which Robinson stresses does not take long as shown by reading recent dates on the letters.",The Izzard Company,1947,Lost; Misfit; Hardships; Success; Material Abundance; Testimonials; God-Power,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Good_News_10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,57
Psychiana No. 1,"Fifteen minute radio broadcast begins with 'guide' asking general questions about Psychiana. Robinson asserts Psychiana can turn failure and into success, and uses how a radio works as an example of how knowing the God-Law allows people to 'tune in' to a great Power. Robinson also discusses what the God-Power is via the law that governs the cosmos and atoms.",MacGregor & Sollie Studios,1935,Examples of God-Law; Atom; Science and Technology; Cosmos,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,58
Psychiana No. 2,Fifteen minute radio broadcast. Broadcast begins with 'guide' and Robinson discussing what God is and the Christian orthodox definition of God and the stories of God. Robinson refutes orthodox stories of God as borrowed from each other. Robinson then discusses what God is to him and to Psychiana.,MacGregor & Sollie Studios,1935,Doctrine Parallels; Criticizing Orthodox Religion; Supreme Intelligence; God-Spirit,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,59
Psychiana No. 3,"Fifteen minute radio broadcast. Episode begins with 'guide' and Robinson discussing the nature of miracles. Robinson refutes central Christian miracles like the crucifixion, resurrection, and the others as duplicated from other myths. Robins refutes heaven as a barrier created between us and God, but Psychiana affirms that we have access to all the things we want here and now on earth by communing with God and the God-Power.",MacGregor & Sollie Studios,1935,Here and Now; Afterlife; Miracles; Doctrine Parallels; God-Power; Success; Material Abindance,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,60
Psychiana No. 4,"Fifteen minute radio broadcast. Broadcast begins with 'guide' asking what it feels like when we commune with the God-Law, and admits feeling reservations about letting go of orthodoxy from childhood. Robinson affirms his unflinching stand against orthodox religions attacking him, and his feeling that orthodox religion did not satisfy his search for God.",MacGregor & Sollie Studios,1935,Criticizing Orthodox Religion; Church in Decline; God-Law,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,61
Psychiana No. 5,Fifteen minute radio broadcast. Broadcast begins with 'guide' asking one question about the afterlife and death. Robinson uses this question to call into question and refute central tenets of orthodox religious doctrine. Robinson discusses parallels of religious stories and ancient historians who fail to discuss Jesus Christ.,MacGregor & Sollie Studios,1935,Criticizing Orthodox Religion; Afterlife; Doctrine Parallels; Jesus Christ; Ancient History,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,62
Psychiana No. 6,"Fifteen minute radio broadcast. Episode begins with 'guide' asking Robinson about the nature of the virgin birth. Robinson refutes the virgin birth ever happened for several reasons, specifically it defies the God-Law governing nature and the story was borrowed from heathen and pagan myths, which Robinson discusses in specific detail. Robinson also discusses who actually authored the Gopels.",MacGregor & Sollie Studios,1935,Gospels; Doctrine Parallels; Virgin Birth; Paganism; Criticizing Orthodox Religion,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,63
Psychiana No. 7,"Fifteen minute radio broadcast corresponding with radio transcript Psychiana No. 7. Broadcast begins with 'guide' asking Robinson about the religious notion of sin, or the fall of man, and Robinson renounces these concepts, using the opportunity to talk about the origin of Christian and Pagan myths that have no basis in fact.",MacGregor & Sollie Studios,1935,Criticizing Orthodox Reilgions; Christianity; Paganism; Bible; Adam and Eve; Sin,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,64
Psychiana No. 8,Fifteen minute radio broadcast corresponds with radio transcript Psychiana No. 8. Episode begins with 'guide' asking Robinson about the Bible. Robinson points out there are many sacred books and nothing makes the Bible the sole sacred text. He argues that no proof exists that the evangelists are real and discusses more evidence against the validity of the Bible.,MacGregor & Sollie Studios,1935,Criticizing Orthodox Reilgions; Bible; Gospels,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,65
Psychiana No. 9,Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  9. Broadcast begins with a 'guide' asking Robinson questions and pontificating on the changing times due to advances in Science. Robinson and guide discuss Robinson's convention in Los Angeles and the many attendees who have been asked to believe what orthodox religions have told them is true. Robinson criticizes beliefs of organized religions like Christianity.,MacGregor & Sollie Studios,1935,Criticizing Orthodox Reilgions; Los Angeles; Science and Technology,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,66
Quiet Talks With God - Sampling,Quiet Talks With God included a series of 101 newspaper columns written by Frank B. Robinson to communicate teachings of Psychiana. These are the first 6 of the 101 columns after formatting for final print in newspapers. Each column herein printed on newsprint typed in size 12 font.,,1941,Quiet Talks With God; Psychiana Teachings,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f21_b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,67
Psychiana No. 10,Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  10. Broadcast begins with 'guide' asking Robinson questions about a book he is writing entitled The Number of the Beast (later called Number of the Beast '666'). Robinson also discusses a letter from someone accusing him of corrupting the faith of children.,MacGregor & Sollie Studios,1935,Robinson's Books; Psychiana Criticism; Radio Transcripts; Truth; Corrupting Youth,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,68
Good News - Historical Forces,"Radio program episode that uses a student letter to begin discussing examples of forces that have existed all around us but have only been discovered in recent history, including electricity and radio waves. Instincts of animals, like birds, are also used as examples that there is a Law governing nature. Robinson discusses these examples as evidence of the unseen God-Realm and God-Law.",,1947,God-Law; Examples of God-Law; God-Realm; Edison; Electricity; Radio,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Good_News_06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,69
Psychiana No. 11,Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  11. Broadcast begins with 'guide' noting advances in Science and asking Robinson questions. Robinson uses a storm [cueing thunder sounds] to talk about the 'superstition' of storms as a sign of God's anger. He goes on to argue against myths of sacrifice prominent and common in many organized religions.,MacGregor & Sollie Studios,1935,Criticizing Orthodox Reilgions; Science and Technology; Crucifixion; Church in Decline,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,70
Psychiana No. 12,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  12. Broadcast begins with 'guide' asking Robinson questions about the fallibility of the story of Jesus Christ, to which Robinson responds he will spare no one the Truth and discusses his right to tell others of his account of God just as other religions claim they have the right to say their teachings are true.",MacGregor & Sollie Studios,1935,Jesus Christ; Freedom of Religion,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_12,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,71
Psychiana No. 13,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  13. Broadcast begins with 'guide' asking Robinson questions about the Trinity, to which Robinson discusses his version of the origin of religious beliefs throughout time, from cavemen, and claims the Trinity is not unique to Christianity but derived from other religions. He calls other religions 'superstitions.'",MacGregor & Sollie Studios,1935,Christianity; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_13,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,72
Psychiana No. 14,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  14. Broadcast begins with 'guide' asking Robinson questions about the stars, their quantity, and a 'force' that controls the cosmos. Robinson discusses electricity as neither liquid, solid, or gas, but as a force and uses it as a metaphor for the God-Law present at all times to order and control the universe.",MacGregor & Sollie Studios,1935,God-Law; Science and Technology,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_14,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,73
Psychiana No. 15,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  15. Episode begins with 'guide' asking Robinson questions about the creation of the world via the God-Law and Genesis. Through dialogue, Robinson discusses contradictions that he finds in the book of Genesis that lead him to believe in the God-Law rather than Biblical accounts of Creation.",MacGregor & Sollie Studios,1935,Creation Stories; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_15,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,74
Psychiana No. 16,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  16. Broadcast begins with 'guide' pontificating and asking Robinson questions about the exclusivity of confessing sins and absolution to Christianity, to which Robinson explains there are different permutations of confession and absolution in the Bible as well as other religions, including pagan religions. Robinson claims he exposes the Truth about orthodox religions.",MacGregor & Sollie Studios,1935,Christianity; Criticizing Orthodox Reilgions; Paganism; Bible,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_16,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,75
Psychiana No. 17,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  17. Broadcast begins with 'guide' asking Robinson questions about orthodox religion, sparking a discussion about rewards and punishments, heaven and hell. Robinson inquires whether heaven, as a physical place in space, actually exists and whether it makes sense to keep the prosperity of heaven out of one's reach until death if some 'force' or 'order' he calls God permeates the universe now.",MacGregor & Sollie Studios,1935,God on Earth; Criticizing Orthodox Reilgions; Science and Technology; Afterlife,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,76
Psychiana No. 18,"Fifteen minute radio broadcast corresponds with radio transcript Psychiana No.  18. Broadcast begins with 'guide' reporting to Robinson that people have called him an atheist, to which Robinson responds by defining the term atheism, claiming he believes his God is 'far more intelligent' than the God of the Bible. He then criticizes orthodox religions, particularly Christianity, for the notion that sinners have to be 'saved.'",MacGregor & Sollie Studios,1935,Psychiana Criticism; Criticizing Orthodox Reilgions; Bible,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Psychiana_Program_18,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,77
The Wanderer,"Excerpts from a book written by Frank B. Robinson containing a carbon typescript of pages numbered 136-154, which correspond to pages 119-135 of the fourth chapter in the published version of the work. Excerpt discusses Robinson's journey to launch Psychiana and the origins of Psychiana, particularly initial financial investments.","Robinson, Frank B.",1945,Psychiana Origin; Finances,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f22_a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,78
Good News - Power,Radio program episode begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,,1947,Robinson's Life; Failure; Success; Material Abundance,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",Good_News_08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Sound,audio/mp3,79
The Wanderer,"Excerpt of chapter 5 from a book written by Frank B. Robinson. Original typescript numbered 155-166, is headed 'Chapter 5 -- In which we see 'The Wanderer' in Action.' Although chapter 5 of the published book has the same title, this typescript does not form a part of the final version. Chapter details the narrator pondering on the presence of 'The Wanderer,' a person with much knowledge about Christ and the Bible.","Robinson, Frank B.",1945,Organized Religions; Psychiana Teachings,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f23_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,80
Christmas,"Typescript on the nature of Christmas in which Frank B. Robinson addresses a dilemma about the celebration of Christmas for Psychiana followers, which prompts Robinson to discussion the history and nature of the celebration of the holiday.","Robinson, Frank B.",1950,Christianity and Psychiana; Christmas,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f24_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,81
"We Read an Amazing Story, Chapter 5","Chapter 5 gives prominence to Frank B. Robinson's relationship with C. W. Tenney and W. W. DeBolt, both of whom were ministers defrocked for their involvement with Psychiana. Robinson uses their treatment by their churches as a means to express the 'Godless' nature of modern organized religions.","Robinson, Frank B.",1946,C. W. Tenney; W. W. DeBolt; Losing Faith,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f1_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,82
Untitled - Writing on the Search for God and the Failure of Contemporary Religion,Typescript addresses an issue with the failure of current religions to reveal God to followers and outlines Robinson's goals and stern resolve to search for Spiritual Truth and what he calls 'The Living God.',"Robinson, Frank B.",1937,Jesus Christ; Spiritual Truth;,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f24_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,83
Psychiana for Christians - Lesson 1,Typescript of Psychiana lesson begins stating the Christian religion is facing turmoil and chaos. Robinson also suggests that Christianity was 'God-inspired' at its core and discusses the history of the Realm of the Spirit of God.,"Robinson, Frank B.",1937,Christianity and Psychiana; Spirit of God,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana",MG101_b5_f24_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,84
