title,creator,date,description,subjects,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,object-id
Cadets on field,"Barkhuff, William Delbert",1905-03-06,Cadets of field.,Cadets--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Men--Washington (State)--Pullman; Military officers--Washington (State)--Pullman; Meadows--Washington (State)--Pullman; Flag--United States--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n02,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,67
Cadets in Front of Building,"Barkhuff, William Delbert",1905-03-06,Cadets in front of building.,Buildings--Washington (State)--Pullman; Cadets--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n03,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,68
Cadets in Formation,"Barkhuff, William Delbert",1905-03-06,Cadets in formation.,Cadets--Washington (State)--Pullman; Artillery (Weaponry)--American--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Women--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n04,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,69
WAC Senior Preps.,"Barkhuff, William Delbert",1905-03-06,"Group of students, men and women.",Clothing &amp; dress--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Chairs--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n05,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,70
"WAC Senior Preps, 1898","Barkhuff, William Delbert",1905-03-04,Senior class portrait in formal wear outside Thompson Hall (Administration Building).,Buildings--Washington (State)--Pullman; Students--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n06,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,71
"WAC People, 1898","Barkhuff, William Delbert",1905-03-12,A group photo of men wearing WAC hats.,Men--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n07,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,72
"Cadets On Field, 1898","Barkhuff, William Delbert",1905-03-12,Cadets marching in a  field.,Cadets--Washington (State)--Pullman; Flag--United States--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n08,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,73
"WAC People, 1898","Barkhuff, William Delbert",1905-03-12,A group of men in WAC hats.,Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f04n09,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,74
Steamboat Coming Up River Near Bishop,"Barkhuff, William Delbert",1905-03-12,Steamboat coming up river near Bishop.,Rivers--Washington (State); Steamboats--Washington (State); Snake River; Rivers,North and Central America--United States--Washington (state)--Whitman county--Snake River,46.632487,-117.374918,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n01,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,75
"Oil Wagon, 1898","Barkhuff, William Delbert",1905-03-12,A large oil drum sits next to a shack and rail road tracks.,Buildings--Washington (State)--Pullman; Railroad stations--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,46.639381,-117.372279,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n26,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,76
"Group Portrait, 1898","Barkhuff, William Delbert",1905-03-12,A gathering of people outside a house.,Buildings--Washington (State)--Pullman; Children--Washington (State)--Pullman; Houses--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n27,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,77
"Poppy Field, 1898","Barkhuff, William Delbert",1905-03-12,A poppy field.,Croplands--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n28,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,78
"Family Portrait in Front of House, 1898","Barkhuff, William Delbert",1905-03-12,A family stands out in front of their house.,Buildings--Washington (State)--Pullman; Children--Washington (State)--Pullman; Houses--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n31,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,79
"Saddle Horse, 1898","Barkhuff, William Delbert",1905-03-12,A saddled horse.,Horses--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n33,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,80
"4th Section Bishop Bros Ranch, Wawawai Wash., 1897","Barkhuff, William Delbert",1905-03-11,A steam ship heading up a river.,Steam engines--Washington (State)--Wawawai; Valleys--Washington (State)--Wawawai; Rivers--Washington (State); Snake River,North and Central America--United States--Washington (state)--Whitman county--Wawawai,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n34,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,81
"3rd Section Bishop Bros Ranch, Wawawai Wash., 1897","Barkhuff, William Delbert",1905-03-11,A farm set up against a river.,Buildings--Washington (State)--Wawawai; Croplands--Washington (State)--Wawawai; Valleys--Washington (State)--Wawawai; Snake River; Rivers--Washington (State),North and Central America--United States--Washington (state)--Whitman county--Wawawai,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n35,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,82
"2nd Section Bishop Ranch, Wawawai, 1897","Barkhuff, William Delbert",1905-03-11,A view of farm land and a river.,Croplands--Washington (State)--Wawawai; Valleys--Washington (State)--Wawawai; Snake River,North and Central America--United States--Washington (state)--Whitman county--Wawawai,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n36,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,83
"1st Section Bishop Ranch, Wawawai Wash., 1897","Barkhuff, William Delbert",1905-03-11,A view of orchards and a river.,Croplands--Washington (State)--Wawawai; Rivers--Washington (State)--Wawawai; Snake River,North and Central America--United States--Washington (state)--Whitman county--Wawawai,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n37,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,84
"Parlor of Barkhuff Home Ranch, 1898","Barkhuff, William Delbert",1905-03-12,A picture of a parlor.,Chairs--Washington (State)--Colton; Decorations--Washington (State)--Colton; Interiors--Washington (State)--Colton; Rooms &amp; spaces--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n38,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,85
"Harvest Crew at Wawawai, 1898","Barkhuff, William Delbert",1905-03-12,A group of men stand in front of a house.,Buildings--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Wawawai,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n39,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,86
"Barkhuff Homestead House, About Middle of Picture, 1894","Barkhuff, William Delbert",1894,Barkhuff homestead surrounded by trees and croplands.  Barn in upper left corner.,Trees--Washington (State)--Colton; Houses--Washington (State)--Colton; Croplands--Washington (State)--Colton; Barns--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n40,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,87
"William Bailey Farm Wawawai, 1898","Barkhuff, William Delbert",1905-03-12,"Men, women and children walk along a path.",Children--Washington (State)--Pullman; Hills--Washington (State)--Pullman; Men--Washington (State)--Pullman; Trees--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n41,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,88
"Riverboat at Alamota, 1898","Barkhuff, William Delbert",1905-03-12,People loading and unloading the steamship Almota.,Carts &amp; wagons--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n43,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,89
"Riverboat, 1898","Barkhuff, William Delbert",1905-03-12,People loading and unloading a steamboat.,Carts &amp; wagons--Washington (State)--Pullman; Children--Washington (State)--Pullman; Men--Washington (State)--Pullman; Rivers--Washington (State)--Pullman; Steam engines--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n44,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,90
"Riverboat on Water, 1898","Barkhuff, William Delbert",1905-03-12,A steamboat sitting at dock.,Rivers--Washington (State)--Pullman; Steam engines--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n45,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,91
"Harvest in the Palouse, 1898","Barkhuff, William Delbert",1905-03-12,Men working at harvesting wheat.,Carts &amp; wagons--Washington (State)--Pullman; Croplands--Washington (State)--Pullman; Horses--Washington (State)--Pullman; Mechanical works--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n46,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,92
"Group on Farm, 1898","Barkhuff, William Delbert",1905-03-12,A group of people stand by a building.,Buildings--Washington (State)--Pullman; Hills--Washington (State)--Pullman; Houses--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n47,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,93
"Barkhuff Barn, 1898","Barkhuff, William Delbert",1905-03-12,A barn in fall / winter.,Buildings--Washington (State)--Pullman; Trees--Washington (State)--Pullman; Wooden buildings--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f05n48,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,94
"Barkhuff Ranch Scenes, 1898","Barkhuff, William Delbert",1905-03-12,George and M.J. Barkhuff,"Barkhuff, George Wood; Barkhuff, Maxine Jane Patterson; Fences--Washington (State)--Colton; Trees--Washington (State)--Colton",North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n01,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,95
"Barkhuff Ranch Scenes, 1898","Barkhuff, William Delbert",1905-03-12,A wooded hillside.,Hills--Washington (State)--Colton; Trees--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n03,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,96
Barkhuff Ranch Scenes 1892,"Barkhuff, William Delbert",1905-03-06,A barn on a hillside.,Buildings--Washington (State)--Colton; Croplands--Washington (State)--Colton; Wooden buildings--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n04,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,97
"Barkhuff Ranch Scenes, 1898","Barkhuff, William Delbert",1905-03-12,A picture of fences.,Fences--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n05,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,98
"Barkhuff Ranch Scenes, 1896","Barkhuff, William Delbert",1905-03-10,"Homestead House, 1896.",Buildings--Washington (State)--Colton; Wooden buildings--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n06,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,99
"Barkhuff Ranch Scenes, 1898","Barkhuff, William Delbert",1905-03-12,A picture of a fence and house in distance.,Buildings--Washington (State)--Colton; Fences--Washington (State)--Colton; Houses--Washington (State)--Colton; Wooden buildings--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n07,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,100
"Barkhuff Ranch Scenes, 1898","Barkhuff, William Delbert",1905-03-12,Barkhuff homestead house.,Buildings--Washington (State)--Colton; Houses--Washington (State)--Colton; Wooden buildings--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n08,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,101
Barkhuff Ranch Scenes,"Barkhuff, William Delbert",1900,"View of ranch surrounded by trees, croplands and hills.",Buildings--Washington (State)--Colton; Croplands--Washington (State)--Colton; Hills--Washington (State)--Colton; Ranches--Washington (State)--Colton,North and Central America--United States--Washington (state)--Whitman county--Colton,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n10,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,102
WAC People,"Barkhuff, William Delbert",1905-03-06,People at athletic event.,Students--Washington (State)--Pullman; Sports--Washington(State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n25,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,103
"Snake River Near Bishop, ca. 1900","Barkhuff, William Delbert",1900,Snake River running through hills.,Rivers--Washington (State); Hills--Washington (State); Snake River; Rivers,North and Central America--United States--Washington (state)--Whitman county--Bishop,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n11,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,104
Barkhuff Ranch Scenes,"Barkhuff, William Delbert",1900,Homestead of Sam Vinley Hilliard.  People standing in front of small house.  Hills and croplands in background,Houses--Washington (State); Croplands--Washington (State); Hills--Washington (State),,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n12,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,105
Clarkston Toward Asotin w/ Swallows&#x27; Nest in Background,"Barkhuff, William Delbert",1900,View overlooking Clarkston and river.,Rivers--Washington (State)--Clarkston; Cities &amp; towns--Washington (State)--Clarkston,North and Central America--United States--Washington (state)--Asotin county--Clarkston,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n13,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,106
West M 8,"Barkhuff, William Delbert",1900,House with shed on left and fence in front.,Houses--Washington (State); Fences--Washington (State); Sheds--Washington (State),,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n14,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,107
Brooks with horses,"Barkhuff, William Delbert",1900,Brooks standing in front of barn with horses on either side.,Men--Washington (State); Horses--Washington (State); Barns--Washington (State); Brooks,,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n15,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,108
"Man on wagon on the Palouse, ca. 1898","Barkhuff, William Delbert",1898,Man sitting on horse-drawn wagon.  Man to right.  Trees in background.,Men--Washington (State); Horses--Washington (State); Carts &amp; wagons--Washington (State); Trees--Washington (State),,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n16,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,109
Barkhuff Ranch Scenes,"Barkhuff, William Delbert",1900,Cows in pen.,Fences--Washington (State)--Pullman; Cows--Washington (State)--Pullman,,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n17,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,110
Aerial Shot,"Barkhuff, William Delbert",1900,Aerial view of town along river and croplands.,Cities &amp; towns--Washington (State); Croplands--Washington (State); Rivers--Washington (State),,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n18,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,111
Barkhuff Ranch Scenes,"Barkhuff, William Delbert",1900,Man holding lead rope on horse.,Men--Washington (State)--Pullman; Horses--Washington (State)--Pullman,,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f06n19,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,112
