title,creator,description,date,Date Approximate,subjects,source,publisher,book-relationship,identifier-original,format-original,format,type,rights,language,location,geonames,latitude,longitude,link,object-id
Marianne Hensley,,"Marianne Hensley, Spirit Lake, helping on logging operations which she does regularly with her husband. Courtesy of Mrs. Hensley.",1/1/25,,lumbermen; women; log (wood); draft horses;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 158,69_2_B-44,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Spirit Lake, Kootenai County, Idaho, United States",http://www.geonames.org/5608388/spirit-lake.html,47.9671,-116.8739,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/87,87
Falls Creek Flume,,Flume on Falls Creek.,1/1/25,,flumes;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-45,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Falls Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5592790/falls-creek.html,47.7461,-116.0209,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/88,88
Chute meets Flume,,Neil Fullerton standing next to the Mica Creek trailing chute. This is where the chute landing met the Mica Creek trailing flume. Beginning of flume in background. St. Joe National Forest. Courtesy of Neil Fullerton.,9/22/39,,portraits; flumes; chutes; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 113. Also print,69_2_B-46,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Mica Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5600736/mica-creek.html,47.2686,-116.1363,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/90,90
Brickle Creek Flume,,"Logs stacked on log deck and Brickle Creek flume of the Panhandle Lumber Company. Brickle Creek is west of Spirit Lake. Courtesy of Mrs. Richard E. Ferrell (widow of the noted North Idaho lumberjack preacher) Spokane, Washington.",1/1/25,yes,flumes; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 117. Also print,69_2_B-47,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Brickel Creek, Spokane County, Washington, United States",http://www.geonames.org/5788093/brickel-creek.html,47.9285,-116.9887,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/91,91
Mica Creek Trailing Chute,,Neil Fulleron at the Mica Creek Trailing Chute. This is where the chute landing met up with the Mica Creek Flume. Beginning of Flume can be seen in the background. Saint Joe National Forest.,9/22/39,,portraits; flumes; chutes; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-48,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Mica Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5600736/mica-creek.html,47.2686,-116.1363,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/92,92
Brickle Creek Flume,,"Brickle Creek flume in operation, Panhandle Lumber Company. West of Spirit Lake, Idaho. This photo is from an old post card. Courtesy of Mrs. Richard E. Ferrell, Spokane, Washington.",1/1/24,yes,flumes; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 118. Also print,69_2_B-49,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Brickel Creek, Spokane County, Washington, United States",http://www.geonames.org/5788093/brickel-creek.html,47.9285,-116.9887,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/93,93
Fred Herrick Flume,Clarence C. Strong,Milwaukee Lumber Co. flume on Benewah Creek 50 years after construction (built in 1916).,1/1/66,,flumes; portraits;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 86,69_2_B-50,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Benewah Creek, Benewah County, Idaho, United States",http://www.geonames.org/5585305/benewah-creek.html,47.2505,-116.7644,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/94,94
Skookum Creek Flume,K.D. Swan,"From chute and rollway to flume, Winton Lumber Company on Skookum Creek. Credit to the U.S.D.A. Forest Service.",1/1/24,,flumes; log (wood); blue collar workers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 116,69_2_B-51,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Skookum Creek, Kootenai County, Idaho, United States",http://www.geonames.org/5607475/skookum-creek.html,47.7408,-116.4745,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/95,95
Leiberg Creek Flume,W.C. Lowdermilk,"Rolling logs into Leiberg Creek flume, Little North Fork Coeur d'Alene River, Coeur d'Alene National Forest. Credit to the U.S.D.A. Forest Service.",7/1/20,,flumes; log (wood); blue collar workers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 116,69_2_B-52,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Leiberg Creek, Kootenai County, Idaho, United States",http://www.geonames.org/5598453/leiberg-creek.html,47.715,-116.3825,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/96,96
Log Drive,Philip Neff,Log drive on Coeur d'Alene River. Drivers working on a center. Photo credit to the U.S.D.A. Forest Service.,7/18/21,,log (wood); blue collar workers; rivers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-53,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"North Fork Coeur d'Alene River, Shoshone County, Idaho, United States",http://www.geonames.org/5602355/north-fork-coeur-d-alene-river.html,47.5645,-116.3138,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/97,97
"Sanders, Idaho",,"A view of the town of Sanders, Idaho. Courtesy of Mrs. Day of New Sanders, Idaho.",1/1/05,yes,towns;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-54,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Sanders, Benewah County, Idaho, United States",http://www.geonames.org/5606410/sanders.html,47.1066,-116.796,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/98,98
Driving Cranberry and Marble Creeks,Charles K. McHarg,"Logs at the junction of Cranberry Creek and Marble Creek, St. Joe National Forest. Credit U.S.D.A. Forest Service.",6/18/23,,log (wood); rivers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 56,69_2_B-55,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Cranberry Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5590071/cranberry-creek.html,47.1292,-116.1012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/99,99
"Tugboat """"Coeur d'Alene""""",Neil Fullerton,Tugboat towing logs on St. Joe River above St. Maries towards Coeur d'Alene.,5/8/41,,log (wood); rivers; tugboats;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_B-13,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Cottonwood Point, Benewah County, Idaho, United States",http://www.geonames.org/5589775/cottonwood-point.html,47.3317,-116.6177,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/100,100
Sleigh Loaded with Logs,,"Joe Brown logging operation at Sanders, Idaho. Team of horses pulling a """"go-devil"""" or a sled. Courtesy of Mrs. Day of Sanders, ID.",1/1/05,yes,sleds; draft horses; group portraits; log (wood); snow; winter;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-56,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Sanders, Benewah County, Idaho, United States",http://www.geonames.org/5606410/sanders.html,47.1066,-116.796,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/101,101
Sleigh Loaded with Logs,,"Joe Brown logging operation at Sanders, Idaho. Woman and children on sleigh load of logs, left to right: Mrs. Joe Brown, Esther Brown, and Roy Brown. (ALS Esther St. George to Clarence C. Strong on 8/15/1968.) Courtesy of his daughter (presumably Esther St. George), Sanders, Idaho.",1/1/05,yes,sleds; draft horses; group portraits; log (wood); snow; winter; children;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-57,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Sanders, Benewah County, Idaho, United States",http://www.geonames.org/5606410/sanders.html,47.1066,-116.796,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/102,102
Sleigh Loaded with Logs,,"Sleigh load of logs. Joe Brown logging operation at Sanders, Idaho. Two visible men are left to right: Joe Brown and John Jordan. Child is Roy Brown. (ALS Esther St. George to Clarence C. Strong on 8-15-68.)",1/1/05,yes,sleds; draft horses; group portraits; log (wood); snow; winter; children; lumbermen;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-59,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Sanders, Benewah County, Idaho, United States",http://www.geonames.org/5606410/sanders.html,47.1066,-116.796,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/103,103
Logs Stored Along St. Joe.,Paul M. Elder,Logs stored in slough along St. Joe River.,1/1/08,,log (wood); rivers; sloughs;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 128,69_2_B-60,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Rochat Creek, Benewah County, Idaho, United States",http://www.geonames.org/5605533/rochat-creek.html,47.3304,-116.4425,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/104,104
Loaded Logging Truck,Sidney Streator,"Logging truck loaded with white pine and crew. Winton Lumber Company, Gibbs, Idaho. Courtesy of Northern Idaho Junior College.",1/1/35,yes,log (wood); group portraits; trucks; blue collar workers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 132,69_2_B-58,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Gibbs, Kootenai County, Idaho, United States",http://www.geonames.org/5594007/gibbs.html,47.69,-116.8025,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/105,105
Al B. Lafferty,Kyle Walker,"Al B. Lafferty, longtime owner and manager of Lafferty Transportation Company.",1/1/55,yes,portraits; offices (work spaces); directors (administrators);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 126,69_2_B-61,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Kootenai County, Idaho, United States",http://www.geonames.org/5597922/kootenai-county.html,47.6746,-116.7,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/106,106
Hand Logged Forest,Philip Neff,"Hand logging operation of the Hedlund Lumber Company, Big Grizzly Creek, Coeur d'Alene National Forest. Photo credit to the U.S.D.A. Forest Service.",7/18/21,,forests (plant communities); log (wood); logging;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-62,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Boundary Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5586651/boundary-creek.html,47.8037,-116.3296,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/107,107
Sleigh Loaded with Logs,A. B. Curtis,"Sleigh load of logs pulled by tractor or """"cat"""". Clearwater Timber Company, Headquarters, Idaho.",1/1/32,,log (wood); sleighs; snow; winter;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 110,69_2_B-63,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Headquarters, Clearwater County, Idaho, United States",http://www.geonames.org/5595392/headquarters.html,46.6418,-115.811,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/108,108
Horse Skidding Logs,W. E. Steuerwald,"Horse skidding logs on Stony Creek, Kaniksu National Forest. Taken in August. Photo Credit to the U.S. Forest Service.",1/1/50,,logging; log (wood); draft horses; blue collar workers; lumbermen;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-65,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Stony Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5609023/stony-creek.html,47.875,-116.1062,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/109,109
Ohio Match Company Log Train,Charles K. McHarg,The log train is being pulled by a Heisler locomotive on a section of the Burnt Cabin Creek Railway. Photo is credited to the U.S.D.A. Forest Service.,1/1/30,,railroad (infrastructure); steam locomotives; flatcars; log (wood); snow;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 123,69_2_B-4,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Burnt Cabin Mine, Kootenai County, Idaho, United States",http://www.geonames.org/5587414/burnt-cabin-mine.html,47.7688,-116.5778,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/111,111
"Steamboat """"Georgie Oakes""""",,"Steamboat """"Georgie Oakes"""" and crew. Refueling near Harrison, Idaho. Presented by """"Trux"""" Truskowsky.",1/1/10,Yes,rivers; group portraits; steamboats;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 23,69_2_B-66,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Harrison, Kootenai County, Idaho, United States",http://www.geonames.org/5595198/harrison.html,47.4545,-116.7856,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/112,112
White Pine Stand,Sidney Streator,"Stand of white pine timber near Cascade Creek, Coeur d'Alene National Forest. Operation of Winton Lumber Company, Gibbs, Idaho.",1/1/27,,white pine (wood); forest plant communities);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. xii,69_2_B-64,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Cascade Creek, Kootenai County, Idaho, United States",http://www.geonames.org/5588167/cascade-creek.html,47.7769,-116.478,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/113,113
Jackson Lumber Harvester,Idaho State Forestry Division,"Jackson lumber harvester in Boundary County, Idaho.",1/1/48,,logging; log (wood); blue collar workers; lumbermen;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-70,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Bald Eagle Mountain, Boundary County, Idaho, United States",http://www.geonames.org/5584534/bald-eagle-mountain.html,48.5151,-116.2674,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/117,117
Grant Lumber Company Lumberyard,,"Grant Lumber Company, St. Maries, Idaho (misidentified as C.W. Russell Sawmill in White Pine King of Many Waters). View of the lumber yard and its employees. From Souvenir of St. Maries by Straffin and Day (1911).",1892-01-01,,lumberyard (stores); blue collar workers; draft horses;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 20. Also film printing negative,69_2_B-71,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries, Benewah County, Idaho, United States",http://www.geonames.org/5606232/saint-maries.html,47.3144,-116.563,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/118,118
Ohio Match Company Sawmill,K.D. Swan,"Ohio Match Company sawmill, Huetter, Idaho. Credit to the U.S.D.A. Forest Service.",1/1/28,,ponds (water); sawmills; lumberyard (stores);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 60,69_2_B-73,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Huetter, Kootenai County, Idaho, United States",http://www.geonames.org/5596312/huetter.html,47.7033,-116.8503,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/119,119
Athol Lumber Company,,"Athol Lumber Company mill, Athol, Idaho. From a postcard.",1/1/11,Yes,sawmills; lumberyards (stores);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-74,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Athol, Kootenai County, Idaho, United States",http://www.geonames.org/5584330/athol.html,47.948,-116.7072,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/120,120
Idaho Lumber and Manufacturing Company Sawmill,,"Idaho Lumber and Manufacturing Company sawmill, Post Falls, Idaho. Courtesy Curtis Whitaker, Post Falls, Idaho.",1900-01-01,Yes,ponds (water); sawmills;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 74. Also print,69_2_B-72,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Post Falls, Kootenai County, Idaho, United States",http://www.geonames.org/5604353/post-falls.html,47.7174,-116.951,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/121,121
Cameron Lumber Company Sawmill,,"Cameron Lumber Company plant and employees at Harrison, Idaho. Courtesy Bert Russell, Harrison, Idaho.",1901-01-01,,ponds (water); sawmills; lumberyard (stores); railroad (infrastructure); freight cars;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 72,69_2_B-75,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Harrison, Kootenai County, Idaho, United States",http://www.geonames.org/5595198/harrison.html,47.4544,-116.784,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/122,122
Loaded Logging Truck,K.D. Swan,"Truck load of logs, Kaniksu National Forest. Taken in August. U.S. Forest Service photo.",1/1/57,,trucks; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-67,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Fall Creek, Bonner County, Idaho, United States",http://www.geonames.org/5592730/fall-creek.html,48.3392,-116.1665,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/123,123
"Potlatch Forests Incorporated, Rutledge Unit",Clarence C. Strong,"Rutledge Unit of Potlatch Forests, Incorporated, Coeur d'Alene, Idaho.",1/1/68,,sawmills; lumberyards (stores); expressway;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-77,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Coeur d'Alene, Kootenai County, Idaho, United States",http://www.geonames.org/5589173/coeur-d-alene.html,47.6776,-116.7925,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/124,124
St. Maries Lumber Company Sawmill,Paul M. Elder,"St. Maries Lumber Company sawmill. Current owner at this time was Lawrence Pugh though previous owners are also listed on the back of the photo: Mike Bogle, W.W. Kroll -1913 (son Charles), Fred Herrick -1920, and G.A. Rogers. Courtesy Paul M. Elder.",1/1/52,,sawmills; log (wood); rivers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 69,69_2_B-78,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries, Benewah County, Idaho, United States",http://www.geonames.org/5606232/saint-maries.html,47.3143,-116.5617,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/125,125
Boarding House and Sawmill,,"Charles W. Russell boarding house & sawmill, Harrison, Idaho (misidentified as Grant Lumber Company Lumberyard in White Pine King of Many Waters). Courtesy of Bert Russell (grandson), Harrison, Idaho.",1900-01-01,,ponds (water); sawmills; lumberyard (stores); railroad (infrastructure); boardinghouses;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 18,69_2_B-76,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Harrison, Kootenai County, Idaho, United States",http://www.geonames.org/5595198/harrison.html,47.4544,-116.784,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/126,126
B.R. Lewis Lumber Company Sawmill,Paul M. Elder,"B.R. Lewis Lumber Company, Coeur d'Alene, Idaho.",1/1/08,,sawmills; log (wood); rivers; lumberyard (stores);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-79,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Coeur d'Alene, Kootenai County, Idaho, United States",http://www.geonames.org/5589173/coeur-d-alene.html,47.6776,-116.7925,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/127,127
B.R. Lewis Lumber Company Photo Collage,Paul M. Elder,B.R. Lewis Lumber Company - composite and arrangement of several pictures showing logging operations.,1/1/08,,composite views; photographs; sawmills; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-80,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Coeur d'Alene, Kootenai County, Idaho, United States",http://www.geonames.org/5589173/coeur-d-alene.html,47.6776,-116.7925,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/128,128
B.R. Lewis Lumber Company Sawmill,Paul M. Elder,"B.R. Lewis Lumber Company sawmill, Coeur d'Alene, Idaho.",1/1/08,,sawmills; log (wood); rivers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 63,69_2_B-81,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Coeur d'Alene, Kootenai County, Idaho, United States",http://www.geonames.org/5589173/coeur-d-alene.html,47.6776,-116.7925,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/129,129
Ohio Match Company Sawmill,Paul M. Elder,"Ohio Match Company sawmill, Huetter, Idaho. (Now Diamond International)",1/1/46,,sawmills; log (wood); rivers; lumberyard (stores); incinerators;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-82,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Huetter, Kootenai County, Idaho, United States",http://www.geonames.org/5596312/huetter.html,47.7035,-116.8505,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/130,130
Coeur d'Alene Lumber Company Sawmill,Paul M. Elder,Coeur d'Alene Lumber Company sawmill and employees.,1/1/09,,lumberyards (stores); group portraits; blue collar workers;  draft horses; railroad (infrastructure); flatcars;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-83,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Coeur d'Alene, Kootenai County, Idaho, United States",http://www.geonames.org/5589173/coeur-d-alene.html,47.6776,-116.7925,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/131,131
Coeur d'Alene Lumber Company Sawmill,,Coeur d'Alene Lumber Company sawmill.,1/1/05,,sawmills; lumberyards (stores); incinerators;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-84,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Coeur d'Alene, Kootenai County, Idaho, United States",http://www.geonames.org/5589173/coeur-d-alene.html,47.6776,-116.7925,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/132,132
Post Falls Lumber Company Sawmill,Paul M. Elder,"Post Falls Lumber Company sawmill, Post Falls, Idaho.",1/1/46,,sawmills; dams (hydraulic structures); cascades (water features);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 76,69_2_B-85,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Post Falls, Kootenai County, Idaho, United States",http://www.geonames.org/5604353/post-falls.html,47.7181,-116.9509,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/133,133
Trailing by Steam Donkey,,A steam donkey trailing logs in a chute. Logging fire damaged timber in St. Joe-Big Creek area on a Fred Herrick operation. Courtesy of the St. Maries Gazette-Record.,1/1/13,,chutes; log (wood); steam turbines;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 39,69_2_B-68,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"East Fork Big Creek, Latah County, Idaho, United States",http://www.geonames.org/5591912/east-fork-big-creek.html,46.9906,-116.7001,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/134,134
Frederick Post Water-Powered Sawmill,,"Frederick Post's first water-powered sawmill and employees, Post Falls, Idaho. Courtesy Paul M. Elder.",1890-01-01,,sawmills; dams (hydraulic structures); cascades (water features); group portraits; blue collar workers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 14,69_2_B-86,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Post Falls, Kootenai County, Idaho, United States",http://www.geonames.org/5604353/post-falls.html,47.7181,-116.9509,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/135,135
A.W. Post Sawmill and Log Pond,,"A.W. Post mill and log pond, Rathdrum, Idaho. Group portrait on the edge of the log pond, sawmill in background. Courtesy of Mrs. John Post, Coeur d'Alene, Idaho.",1890-01-01,,group portraits; ponds (water); log (wood); draft horses; sawmills;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-87,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Rathdrum, Kootenai County, Idaho, United States",http://www.geonames.org/5553955/rathdrum.html,47.8124,-116.8956,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/136,136
A.W. Post and Crew,,"A.W. Post and crew in the Company yard and sawmill, Rathdrum, Idaho. A.W. Post in back 3rd from left. John W. Post in front 4th from left. Courtesy of Mrs. John Post, Coeur d'Alene, Idaho.",1890-01-01,,lumberyard (stores); blue collar workers; group portraits;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 15,69_2_B-88,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Rathdrum, Kootenai County, Idaho, United States",http://www.geonames.org/5553955/rathdrum.html,47.8124,-116.8956,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/137,137
A.W. Post and Crew,,"A.W. Post and crew in the interior of the sawmill, Rathdrum, Idaho. A.W. Post in back 4th from left and John W. Post in front first on the left. Courtesy of Mrs. John Post, Coeur d'Alene, Idaho.",1890-01-01,,sawmill; blue collar workers; group portraits;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-89,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Rathdrum, Kootenai County, Idaho, United States",http://www.geonames.org/5553955/rathdrum.html,47.8124,-116.8956,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/138,138
