title,description,creator,date,subject,source,orig-id,rights,type,format,object-d
Straw houses,"Straw houses, huts in an unknown location.","Iddings, John Edward",1927,Dwellings;; dwelling,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 052","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,362
Straw-thatched houses,"Straw-thatched houses, huts in an unknown location.","Iddings, John Edward",1927,Dwellings;; dwelling,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 053","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,363
Women working on a shore,"Women working on a shore, with bundles of an unidentified plant material near the water.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 054","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,364
People and cars in front of a building,People and cars gathered in front of a building in an unknown location.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 037","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,365
View of a rural scene,"A distance view of a rural scene, with men working in fields.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 055","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,366
Farm building with no roof,A farm building either under construction or after having the roof removed.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 056","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,367
Farm building,"A farm building, built using logs and shake shingles.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 057","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,368
Boat being pulled through a canal,A boat with a passenger on board is pulled through a canal by a man walking along the shore,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 058","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,369
Maud Iddings on a shore,"Maud Iddings poses on a shore, alongside other persons and a four wheeled carriage pulled by horses.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 059","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,370
Building with a garden,A building with a landscaped garden in the foreground.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 060","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,371
Building [01],A sideview of an unidentified building entrance.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 061","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,372
Building [02],A building in the distance on the crest of a hill.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 062","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,373
Maude and E.J. Iddings in front of a church,Maude and E. J. Iddings posing in front of an old church building.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 038","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,374
Two wheeled low trunk carriage in front of hostel,Two-wheeled low trunk carriage parked in front of a hostel. A sign in French on the door of the building advertises rooms for rent. Two girls and a dog are seen on the street.,"Iddings, John Edward",1927,"transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 039","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,375
Sheep pasture [01],Sheep grazing in a pasture.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 067","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,376
Sheep pasture [02],Sheep grazing in a pasture; the edge of the fenced field is visible in the background.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 068","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,377
Sheep judging,Participants and animals lining up for a sheep showing event.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 069","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,378
Sheep in a corral [01],Sheep in a corral prior to being shorn.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 070","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,379
Boar,A boar grazes in a field.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 071","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,380
Rowett Institute,"The Rowett Institute in Aberdeen, Scotland.","Iddings, John Edward",1927,Aberdeen (Scotland); ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 072","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,381
Cattle,An image of a beef cow at the University of Idaho farms.,"Iddings, John Edward",1927,Cows; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 063","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,382
E.J. Iddings among vegetation,E. J. Iddings among vegetation.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 073","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,383
Two wheeled carriage pulled by horse,"Two-wheeled carriage with a calash top pulled by a horse, in front of a building in an unknown location.","Iddings, John Edward",1927,Horses;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 074","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,384
Ten women dressed in white,"Ten women dressed in white stand on the side of a bus, with passengers looking through the windows.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 075","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,385
Carriage pulled by a horse [01],"Two-wheeled carriage pulled by a horse, with driver.","Iddings, John Edward",1927,"Horses;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 076","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,386
Ruins of an amphitheater,Ruins of an amphitheater in an unknown location.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 077","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,387
Carriage pulled by a horse [02],"A man embarking in a four-wheeled carriage pulled by horses, followed by other similar carriages, near a shore.","Iddings, John Edward",1927,"Horses;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 078","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,388
U.S. military graves,U.S. military graves in an unknown location.,"Iddings, John Edward",1927,cemetery,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 079","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,389
Kursaal with the Rotary International logo on facade,"The Kursaal with the Rotary International logo on facade in Ostend, Belgium","Iddings, John Edward",1927,Ostend (Belgium); buildings,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 080","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,390
Shepherd observing a flock [01],A shepherd mounted on a horse tends to a flock of sheep.,"Iddings, John Edward",1927,Shepherds; Sheep; Horses; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 081","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,391
Shepherd observing a flock [02],"A shepherd observes a flock of sheep drinking water out of stream, while a horse grazes nearby.","Iddings, John Edward",1927,Shepherds; Sheep; Horses; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 064","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,392
Flock of sheep on a road,A flock of sheep on a road in an unknown location.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 082","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,393
Sheep in a corral [02],Sheep in a corral prior to sheering and after.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 083","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,394
Flock of sheep grazing,Flock of sheep grazing in an open pasture.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 084","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,395
Maud Iddings with two children,Maud Iddings poses with two children alongside several persons wearing traditional costume. [Netherlands?],"Iddings, John Edward",1927,wooden shoes,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 085","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,396
Village scene with thatched huts,A village scene. Women and children walk a road with thatched-roof huts and cows in the background.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 086","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,397
Street scene with people and cows,A street scene with people and cows. Seen in the foreground is a small British flag.,"Iddings, John Edward",1927,Cows; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 087","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,398
Facade of a building [03],"Facade of a building with persons sitting on benches outside, possibly in Paris, France.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 088","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,399
Merino sheep at a show,Two men holding open the wool of a merino sheep to show the interior of the coat.,"Iddings, John Edward",1927,Sheep; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 065","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,400
Rambouillet ram,Rambouillet ram,"Iddings, John Edward",1927,Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 066","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,401
Woman and a man in front of a house,A woman and a man in front of a house with terracotta tile shingles on the roof. A child can be seen looking out a window on the far right of the image.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 092","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,402
Colonnade of a building,"Colonnade of a building with two carriages pulled by horses, in front.","Iddings, John Edward",1927,Horses;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 093","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,403
Dog cart,"A dog cart, with the front half of the dog not pictured. The man holding the dog is wearing wooden shoes.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 094","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,404
Woman standing by a river,A woman standing by a river alongside a basket filled with clothes on the ground.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 095","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,405
Heavily loaded carriage,"Two men posing by a heavily loaded two-wheeled carriage, pulled by five horses.","Iddings, John Edward",1927,Horses;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 096","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,406
Two wheeled cart and buggy,A single horse pulls a loaded two-wheeled cart next to a donkey pulling a two-wheeled buggy with a driver in the bench seat.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 097","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,407
Building [03],A stone building with a cobblestone pavilion in the foreground.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 089","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,408
Men judging a horse,"Men judging a horse, likely for breeding consideration.","Iddings, John Edward",1927,Horses;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 098","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,409
Men holding luggage,An unidentified man poses alongside another man holding luggage.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 3, Slide 099","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,410
