title,description,creator,date,subjects,location,longitude,latitude,format,type,object-id
Arbor Notes December 2001,This December publication includes the subject headings: Birds of the UI Arboreta; News from the Arboretum Director; Report from the Horticulturist; the 24th Annual Meeting of the Arboretum Associates; Holiday Shopping Ideas; Tony event scheduled; donors; Arboretum concert pleases crowd; Get a preview of Spring 2002 at the Northwest Flower and Garden Show; Birding season to season around the Arboreta; Bird species lists for the UI Arboreta; Jason Paul Kelley Grove of 'Camperdownii' Elms planted; A Hosta/Garden/House/Art Tour and Workshop at the home and garden of Jaki Wright and Bill Bowler in Moscow.,"Fisher, Joy; Naskali, Richard; Rhoades, Beverly; Swift, Charles; Warnick, Paul",2001-12,associations; arboretums; newsletters; gardening; garden shows; planting; horticulture; Aves (class); construction; Ulmus (genus),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721568,-117.015663,Newsletter,text,47
Arbor Notes November 2002,This November publication includes the subject headings and corrections in pen: Lasting UI Legacies: Plant treasures of the University Campus; News from the Arboretum Director; Arboretum Associates purchases; Xeriscape demonstration garden; Plant sale a growing success; summer concert draws appreciative crowd; Other Arboretum news; Mark your calendars: Some botanical events; Some animal resistant garden flowers; donor roll; Message from the President;,"Fisher, Joy; Johnston, Marlene; Naskali, Richard; Rhoades, Beverly; Roby, Kris; Warnick, Paul",2002-11,associations; arboretums; newsletters; gardening; planting; xeriscapes; construction equipment; officers (administrators); musical performances,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.714911,-117.017067,Newsletter,text,48
Arbor Notes December 2002,This December publication includes the subject headings: Lasting UI Legacies: Plant treasures of the University Campus; News from the Arboretum Director; Arboretum Associates purchases; Xeriscape demonstration garden; Plant sale a growing success; summer concert draws appreciative crowd; Other Arboretum news; Mark your calendars: Some botanical events; Some animal resistant garden flowers; donor roll; Message from the President;,,2002-12,associations; arboretums; newsletters; gardening; planting; xeriscapes; construction equipment; officers (administrators); musical performances,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.714992,-117.017003,Newsletter,text,49
Arbor Notes April 2003,This April publication includes the subject headings: Richard Naskali - Arboretum Director Retires; Presidential Medallion; Retirement Celebration; Report from the Horticulturist; George Dwelle - Daylily Demonstration Garden; Xeriscape Plant Profile - Artemisia; Annual Meeting - April 17th 7:30; Arboretum Associates Plant Sale 2003; Arboretum Events: Mark your calendars for these events; Lasting UI Legacies: Plant Treasures of the University Campus.,"Johnston, Marlene; LeTourneau, Duane; Naskali, Richard; Taruscio, Gina; Warnick, Paul",2003-04,associations; arboretums; newsletters; gardening; planting; xeriscapes; retirement; officers (administrators);,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.715213,-117.017199,Newsletter,text,50
Arbor Notes Spring 1987,This spring publication includes the subject headings: President's Report; Committee Report; Field Project; Annual Meeting; Two New Ponds; Land Cultivated; Notes from the Underground; Plantings,"Vettrus, Dean; Kochan, Walter J.;Johnston, Marlene; Naskali, Richard",1987,associations; arboretums; perennials; ponds (water),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.720899,-117.016077,Newsletter,text,51
Arbor Notes Summer 1988,This summer publication includes the subject headings: Arboretum Coordinator named; Arboretum Associates celebrate 10th anniversary; President's Report; Grove Report; Arboretum Barn; Arboretum Tractor; Arboretum Notes; Shattuck Arboretum Cleanup; and New Hybrid Iris,"Naskali, Richard; Vettrus, Dean",1988,associations; arboretums; group organizations; tractors (agricultural equipment); barns; iris(genus),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.714602,-117.017818,Newsletter,text,52
Arbor Notes April 1990,"This April publication includes the subject headings: Idaho's Wych from Camperdown House, Scotland; The 1990 Annual Meeting; Hybrid tuberous Begonia culture; Workshop reminders; Waterfowl alert; News from the Arboretum Director; amendments and changes to the Arboretum Associates Constitution and Bylaws.","Johnson, Maureen; Luther, Mary; Naskali, Richard",1990-04,associations; arboretums; horticulture; tubers (plant material),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724998,-117.010191,Newsletter,text,53
Arboretum Associates Newsletter Spring 1981,"This spring publication includes information about the featured speaker Dr. Dixie Ehrenreich, updates on the pond design completion, a re-cap of the 1980 Gardens and Arboretum work after the eruption of Mt. St. Helens, the newly designed brochure for AA, upcoming public programs, outlines being established for developing memorial groves, and the new Board of Directors for the Arboretum Associates.","Naskali, Richard",1981-04-28,associations; arboretums; gardening;,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721133,-117.016073,Newsletter,text,54
Arbor Notes March 2017,This March publication includes the subject headings: Strengthening Connections: Linking the University of Idaho Arboreta to the UI Campus; Arboretum Associates to Celebrate 40th Anniversary with Art Show on April 12th; Science Saturdays a Big Success in Year Three; Message from the President; Science Saturdays Call for Proposals; Arboretum Provides Habitat for Native Bees; 'Summer Breezes and Sweet Sounds' Concert Delights Crowd; Calling All Artists;   Arboretum Associates Donor Roll; Report from the Horticulturist; Arboretum Associates Annual Plant Sale 2017; Saving a Tree; Walter Buechler.,"Boyd, Will; Casey, Allen; Johnson, Brian; Leander, Jan; Roby, Kris; Warnick, Paul",2017-03,associations; arboretums; planting; musical performances;  horticulture; education; pest control,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.715385,-117.016904,Newsletter,text,55
Arbor Notes December 2017,This December publication includes the subject headings: The Arboretum: All Seasons for All Reasons; Arboretum Associates Celebrate 40th Anniversary with Community Art Show; Calendar of Upcoming Events; Team Nemo - College of Engineering Student Project; Identifying the Big Willows in the Arboretum; Record Crowd Delights In Summer Concert; Arboretum Associates Donor Roll; Report from the Horticulturist; Science Saturdays 2017; Message from the President; Arboretum Associates Annual Plant Sale.,"Anders, Paul; Boyd, Will; Leander, Jan; Pratt, Autumn; Roby, Kris; Warnick, Paul",2017-12,associations; arboretums; newsletters; anniversaries; flora (plants); fauna; horticulture; education; Salix nigra (species),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.718601,-117.016620,Newsletter,text,56
