title,description,subjects,date,source,latitude,longitude,format-original,format,type,rights,object-id
Pacific Coast Intercollegiate Boxing Association champions [02],"Pacific Coast Intercollegiate Boxing Association champions - L-r: 125# Mac Martinez, San Jose State; 130# James Reilly, Gonzaga University; 135# Everett Conley, Washington State; 145# Floyd Wilson, UCLA; 155# Eli Thomas, Gonzaga University; 165# Herb Carlson, University of Idaho; 175#  Carl Maxey, Gonzaga University; Heavyweight  Herb Christianson, Washington State. [Date: 1950]",intercollegiate boxing championships; championships; boxing; boxers; boxing squad; intercollegiate boxing association champions,1950,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572,-121.4944,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",38
1938-1939 University of Idaho boxing squad,"University of Idaho boxing squad - Kneeling: Coach Louie August.  Standing: Ted Kara, Bud Benoit, Alex Passic, Co-captains Carl Killian and Joe Fallini, Sam Zingale, Hank Struab. [Date: 1939]",boxing squad; boxing; boxers,1939,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",39
Pacific Coast Intercollegiate Boxing Association champions [03],"Pacific Coast Intercollegiate Boxing Association champions - Pacific Coast Champions, 1947. Includes Roy Engberson, Herb Carlson, Laune Erickson. [Date: 1947]",intercollegiate boxing association championships; intercollegiate boxing association champions; boxing; boxers; boxing squad,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572,-121.4944,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",40
University of Idaho boxing squad Sugar Bowl Champions,"University of Idaho boxing squad Sugar Bowl Champions - L-r: Coach Louie August, Frank Kara, Chase Anderson, Ted Kara, Laune Erickson. [Date: 1941]",championships; boxing squad; boxing; boxers; trophies,1941,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572-121.4944,-121.4944,7.5x9.5 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",41
"Boxers, including Laune Erickson, Sammy Zingale, Ted Kara, Frank Kara","Boxers, including Laune Erickson, Sammy Zingale, Ted Kara, Frank Kara -  [Date: 1940]",boxers; boxing squad; boxing,1940,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572-121.4944,-121.4944,7.5x9.5 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",42
1947 National boxing championship team,"1947 National boxing championship team - National Champions, 1947.  [Date: 1947]",national championships; boxing squad; boxing; boxers; trophies,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572-121.4944,-121.4944,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",43
University of Idaho 1950-51 boxing squad trophies,University of Idaho 1950-51 boxing squad trophies -  [Date: 1951],trophies,1951,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",44
"Frank Kara, University of Idaho boxer","Frank Kara, University of Idaho boxer - Frank Kara [Date: 1947]",boxers; boxing,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x5 black and white film negative,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",45
Crowned Heads of Coast Boxing,Crowned Heads of Coast Boxing - Newspaper clipping [Date: 1936],"Pacific Coast Intercollegiate Boxing Tournament at Sacramento, Calif.",1936,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572,-121.4944,Newspaper clipping,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",46
Ted Kara,Ted Kara - Olympic Boxing Team Captain 1936 [Date: 1936],boxer; team captain; Olympian,1936,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,Clipping,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",47
"Don Ellis, University of Idaho boxer 1948-49","Don Ellis, University of Idaho boxer 1948-49 - 175 lbs and heavy weight  [Date: 1948]",boxers; boxing; heavy weight,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",48
University of Idaho 1950-51 boxing squad,University of Idaho 1950-51 boxing squad -  [Date: 1951],group portrait; trophies; boxers,1951,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",49
"Larry Moyer, University of Idaho boxer","Larry Moyer, University of Idaho boxer - Larry Moyer, sophomore, 175, 6'. Portland, Oregon.  [Date: 1952]","boxing; boxers; Oregon, Portland",1952,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",50
University of Idaho boxing squad [01],University of Idaho boxing squad -  [Date: 1952],boxers; boxing; boxing squad,1952,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,7x9 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",51
