title,creator,date,aprox,description,subjects,location,region,latitude,longitude,orig-id,source,format,type,link,object-id
"Wallace (Idaho), Holy Trinity Episcopal Church, 1911","Barnard Studio (Wallace, Idaho)",2/27/1911,,"Snow scene of the exterior view of Holy Trinity Episcopal Church in Wallace, Idaho.",churchesbuildings (structures)dwellings,United States--Idaho--Shoshone County--Wallace,Wallace,47.473132,-115.926951,PG 8-X073a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/595,595
"Wallace (Idaho), Eagles block, 1906","Barnard Studio (Wallace, Idaho)",5/1/1906,yes,"Exterior view of the Eagles block in May 1906, also shows Wallace Supply Co., W.J. Baker Co., and other offices in Wallace, Idaho.",fraternal lodgesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.472422,-115.924607,PG 8-X077,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/596,596
"Little Pittsburg, Kellogg (Idaho)","Barnard Studio (Wallace, Idaho)",1905,yes,A snow covered setting shows a few buildings of Beebe Bros. Mine located in a gulch. A horse is pictured in front of one of the buildings.,mines (extracting complexes)mine buildingssilver mines,United States--Idaho--Shoshone County--Kellogg,Masonia,47.479784,-116.199539,PG 8-X004c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/597,597
Coeur d&apos;Alene cut off,"Barnard Studio (Wallace, Idaho)",1903,yes,Image of the Coeur d&apos;Alene cut off showing men and N.P. [Northern Pacific] train at work in snow.,steam locomotives,United States--Idaho,,,,PG 8-X046,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/598,598
"Charles Dickens Mine, Wallace (Idaho), 1908","Barnard Studio (Wallace, Idaho)",1908,yes,"Snow scene of the Charles Dickens Mine, Wallace, Idaho.",mine buildingssilver minesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.554011,-116.036022,PG 8-X065a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/599,599
"Cabin of Callahan, James Francis, 1912","Barnard Studio (Wallace, Idaho)",1912,yes,"Image of James Francis Callahan packing water to his cabin on Nine Mile Creek, near Wallace, Idaho in 1912. Caption on back: '&apos;In 1886, I hurriedly erected myself a cabin near my location on Nine Mile Creek. This cabin was made of logs, chinked with mud and moss. The roof was made of cedar shakes. Muslin was used in place of a window pane. Outside, the cabin really looked humble and crude, but, to me, inside was cheerful and cozy.&apos; -Jim Callahan, 1916'",cabins (dwellings)buildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.475922,-115.921929,PG 8-X068b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/600,600
"Wallace (Idaho), Eagles block, 1908","Barnard Studio (Wallace, Idaho)",4/1/1908,yes,"Exterior view of the Eagles block in April 1908, also shows Wallace Supply Co., W.J. Baker Co., and other offices in Wallace, Idaho.",fraternal lodgesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.472429,-115.924637,PG 8-X075,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/601,601
"Wallace (Idaho), Eagles block, 1908","Barnard Studio (Wallace, Idaho)",3/1/1908,yes,"Exterior view of the Eagles block showing flags in March 1908, also shows Bolger&apos;s Wallace Supply Co., W.J. Baker Co., and other offices in Wallace, Idaho.",fraternal lodgesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.472449,-115.924647,PG 8-X074b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/602,602
"Wallace (Idaho), Eagles block, 1908","Barnard Studio (Wallace, Idaho)",3/1/1908,yes,"Exterior view of the Eagles block in March 1908, also shows Wallace Supply Co., W.J. Baker Co., and other offices in Wallace, Idaho.",fraternal lodgesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.472432,-115.924617,PG 8-X076b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/603,603
"Wallace (Idaho), Eagles block, 1908","Barnard Studio (Wallace, Idaho)",3/1/1908,yes,"Exterior view of Eagle Block showing flags in March 1908, also shows Bolger&apos;s Wallace Supply Co., W.J. Baker Co., and other offices in Wallace Idaho.",fraternal lodgesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.472439,-115.924657,PG 8-X074a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/604,604
"Wallace (Idaho), Coeur d&apos;Alene foundry","Barnard Studio (Wallace, Idaho)",1905,yes,Image is of a rail car outside the Coeur d&apos;Alene foundry. Two unidentified men are standing on the car with the letters O.W.R R&amp;N 5012 [Oregon Washington Railroad and Navigation Company],railroads carsbuildings (structures)business (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.471599,-115.923888,PG 8-X063,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/605,605
"Wallace (Idaho), Elks Temple, 1906","Barnard Studio (Wallace, Idaho)",1906,yes,"Exterior view of the Elks Temple, Herman J. Rossi Ins., Wallace Light and Walter Co., and Western Union Office in Wallace, Idaho.",fraternal lodgesbuildings (structures),United States--Idaho--Shoshone County--Wallace,Wallace,47.472454,-115.926661,PG 8-X079,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/606,606
"Wallace (Idaho), Elks block, 1906","Barnard Studio (Wallace, Idaho)",1906,yes,"Exterior view of the Elks block shows Post office, Western Union office and others in Wallace, Idaho.",fraternal lodgesbuildings (structures)bicycles,United States--Idaho--Shoshone County--Wallace,Wallace,47.472444,-115.926671,PG 8-X078,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/607,607
"Little Pittsburg, Kellogg (Idaho)","Barnard Studio (Wallace, Idaho)",1908,yes,A snow covered setting shows a few buildings of Beebe Bros. Mine located in a gulch.,mines (extracting complexes)mine buildingssilver mines,United States--Idaho--Shoshone County--Kellogg,Masonia,47.479764,-116.199539,PG 8-X004b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/608,608
"Wallace (Idaho), Eagles Banquet Tables, 1914","Barnard Studio (Wallace, Idaho)",3/11/1914,,"Interior view of the Eagles hall in Wallace, Idaho. Banquet tables are set and a group of wait staff is in the background.",fraternal lodgesgroups of peopledining tables,United States--Idaho--Shoshone County--Wallace,Wallace,47.472579,-115.925138,PG 8-X080a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/609,609
"Wallace (Idaho), Eagles Banquet Tables, 1914","Barnard Studio (Wallace, Idaho)",3/11/1914,,"Interior view of the Eagles hall in Wallace, Idaho. Banquet tables are set and a group of wait staff is in the background. Caption on back: &quot;&quot;F.O.E. Eagles Banquet tables March 11,1914&quot;&quot; Caption on front: &quot;&quot;Eagle Banquet. Mar. 11, 1914&quot;&quot;",fraternal lodgesgroups of peopledining tables,United States--Idaho--Shoshone County--Wallace,Wallace,47.472589,-115.925148,PG 8-X080b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/610,610
"Gem (Idaho), Frisco, 1899","Barnard Studio (Wallace, Idaho)",1899,yes,"A view of railroad track going through the center of Frisco, near Gem, Idaho.",buildings (structures)mills (buildings)railroads,United States--Idaho--Shoshone County,Burke,47.512152,-115.859327,PG 8-X081a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/611,611
"Burke (Idaho), 1910","Barnard Studio (Wallace, Idaho)",2/28/1910,,"Image shows some of the destruction from the snow slide of February 28, 1910.",avalanchesgroups of people,United States--Idaho--Shoshone County--Burke,Burke,47.519078,-115.824388,PG 8-X047,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/612,612
"Gem (Idaho), Frisco","Barnard Studio (Wallace, Idaho)",1912,yes,"Exterior view of homes along the railroad track in Frisco near Gem, Idaho.",buildings (structures)groups of peoplerailroadswagons (cargo vehicles),United States--Idaho--Shoshone County,Burke,47.412142,-115.859337,PG 8-X081b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/613,613
Black Bear (Idaho),"Barnard Studio (Wallace, Idaho)",1908,yes,"A view of railroad track going through the center of the town of Black Bear, Idaho. A horse and wagon are pictured as well as people walking through town.",buildings (structures)dwellingsgroups of people,United States--Idaho--Shoshone County--Black Bear,Burke,47.516041,-115.852383,PG 8-X081c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/614,614
Black Bear (Idaho),"Barnard Studio (Wallace, Idaho)",1908,yes,"Image shows the railroad track going through the middle of town, with homes and people outside.",buildings (structures)dwellingsgroups of peoplerailroadscovered wagons,United States--Idaho--Shoshone County--Black Bear,Burke,47.516051,-115.852393,PG 8-X081d,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/615,615
Black Bear (Idaho),"Barnard Studio (Wallace, Idaho)",1908,yes,"Image shows the railroad track going through the middle of town, with homes and people outside.",buildings (structures)dwellingsgroups of peoplerailroads,United States--Idaho--Shoshone County--Black Bear,Burke,47.516061,-115.852203,PG 8-X081e,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/616,616
"Wallace (Idaho), Fire Station (old), 1903","Barnard Studio (Wallace, Idaho)",1903,yes,"A group of firemen pose outside the old fire station in Wallace, Idaho.",buildings (structures)groups of people,United States--Idaho--Shoshone County--Wallace,Wallace,47.472464,-115.926651,PG 8-X083,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/617,617
"Wallace (Idaho), Forest fire of 1910, Coeur d&apos;Alene Hardware Warehouse","Barnard Studio (Wallace, Idaho)",9/3/1910,,"Image shows the debris from the Coeur d&apos;Alene Hardware Warehouse on September 3, 1910 after the fire on August 20, 1910 swept went through Wallace, Idaho.",groups of peoplebusiness (commercial function)fires,United States--Idaho--Shoshone County--Wallace,Wallace,47.471566,-115.923792,PG 8-X082,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/618,618
"Hunter Mill, Mullan (Idaho)","Barnard Studio (Wallace, Idaho)",1911,yes,"Exterior view shows the Hunter Mill near Mullan, Idaho and clear cut hills and tree stumps.",mills (buildings),United States--Idaho--Shoshone County--Mullan,Mullan,47.471022,-115.783033,PG 8-X679,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/619,619
"Wallace (Idaho), Coeur d&apos;Alene Hardware and Foundry Co.","Barnard Studio (Wallace, Idaho)",1919,yes,Coeur d&apos;Alene Hardware and Foundry Co. Electric hoist-150 Horsepower (H.P.),hardware storesequipmenthoists,United States--Idaho--Shoshone County--Wallace,Wallace,47.471164,-115.923164,PG 8-X659a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/620,620
"Wallace (Idaho), Coeur d&apos;Alene Hardware and Foundry Co.","Barnard Studio (Wallace, Idaho)",1919,yes,Coeur d&apos;Alene Hardware and Foundry Co. Electric hoist-150 Horsepower (H.P.),hardware storesequipmenthoists,United States--Idaho--Shoshone County--Wallace,Wallace,47.471174,-115.923154,PG 8-X659b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/621,621
Wallace (Idaho) 4th of July parade 1921,"Barnard Studio (Wallace, Idaho)",7/4/1921,,"Float for July 4, 1921 parade.",paradesgroups of peoplevehicles (transportation)flags,United States--Idaho--Shoshone County--Wallace,Wallace,47.473329,-115.923811,PG 8-X641l,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/622,622
"Wallace (Idaho), Coeur d&apos;Alene Hardware and Foundry Co.","Barnard Studio (Wallace, Idaho)",1919,yes,Coeur d&apos;Alene Hardware and Foundry Co. Electric hoist-150 Horsepower (H.P.),hardware storesequipmenthoists,United States--Idaho--Shoshone County--Wallace,Wallace,47.471184,-115.923144,PG 8-X659c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/623,623
Wallace (Idaho) 1922,"Barnard Studio (Wallace, Idaho)",1922,yes,"Lee Cunningham&apos;s jitney (taxi) after being struck by motorcycle in Wallace, Idaho, 1922.",cars (automobiles)vehicles (transportation)taxicabs,United States--Idaho--Shoshone County--Wallace,Wallace,47.472528,-115.926543,PG 8-X660a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/624,624
Wallace (Idaho) 1922,"Barnard Studio (Wallace, Idaho)",1922,yes,"Lee Cunningham&apos;s jitney (taxi) after being struck by motorcycle in Wallace, Idaho, 1922.",cars (automobiles)vehicles (transportation)taxicabs,United States--Idaho--Shoshone County--Wallace,Wallace,47.472538,-115.926553,PG 8-X660b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/625,625
"Amazon Dixie Mine, Sildex (Montana) 1923","Barnard Studio (Wallace, Idaho)",1923,yes,"Image shows a men working in a blacksmith shop at the Amazon Dixie Mine in Sildex, Montana, 1923.",blacksmithsmine buildingsequipmentgroups of people,United States--Montana--Mineral County--Sildex,Look out,47.429033,-115.703733,PG 8-X662a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/626,626
Wallace (Idaho) 4th of July parade 1921,"Barnard Studio (Wallace, Idaho)",7/4/1921,,"Float for July 4, 1921 parade.",paradesgroups of peoplevehicles (transportation)flagshorse-drawn vehiclescarscovered wagons,United States--Idaho--Shoshone County--Wallace,Wallace,47.473331,-115.923801,PG 8-X641m,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/627,627
"Amazon Dixie Mine, Sildex (Montana) 1923","Barnard Studio (Wallace, Idaho)",1923,yes,"Image shows a men working in a blacksmith shop at the Amazon Dixie Mine in Sildex, Montana, 1923.",blacksmithsmine buildingsequipmentgroups of people,United States--Montana--Mineral County--Sildex,Look out,47.429022,-115.703722,PG 8-X662b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/628,628
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519081,-115.735011,PG 8-X616b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/629,629
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519071,-115.735022,PG 8-X616a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/630,630
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519051,-115.735044,PG 8-X616d,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/631,631
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519061,-115.735033,PG 8-X616c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/632,632
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519041,-115.735055,PG 8-X616e,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/633,633
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519031,-115.735066,PG 8-X616f,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/634,634
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519021,-115.735077,PG 8-X616g,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/635,635
"O&apos;Brien Gulch (Idaho), Macki, John-Murder Case 1921","Barnard Studio (Wallace, Idaho)",11/6/1921,,"Image taken for the Macki, John-Murder Case taken Nov. 6 1921 at O&apos;Brien Gulch above Larson, Idaho.",treeshills,United States--Idaho--Shoshone County--Wallace,Wallace,47.469653,-115.730991,PG 8-X642a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/636,636
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519011,-115.735088,PG 8-X616h,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/637,637
Wallace (Idaho) 1921 [12],"Barnard Studio (Wallace, Idaho)",4/9/1921,,"Wallace from tank April 9, 1921",towns,United States--Idaho--Shoshone County--Wallace,Wallace,47.469748,-115.915646,PG 8-X636c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/638,638
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519081,-115.735099,PG 8-X616i,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/639,639
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519141,-115.735106,PG 8-X616j,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/640,640
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519161,-115.735119,PG 8-X616k,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/641,641
"O&apos;Brien Gulch (Idaho), Macki, John-Murder Case 1921","Barnard Studio (Wallace, Idaho)",11/6/1921,,"Image taken for the Macki, John-Murder Case taken Nov. 6 1921 at O&apos;Brien Gulch above Larson, Idaho.",treeshills,United States--Idaho--Shoshone County--Wallace,Wallace,47.469634,-115.730981,PG 8-X642b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/642,642
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519171,-115.735198,PG 8-X616l,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/643,643
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519159,-115.735189,PG 8-X616m,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/644,644
"Hecla Mine, Burke (Idaho) 1920","Barnard Studio (Wallace, Idaho)",9/9/1920,,Location Marker for claim at Hecla Mine.,board rulesmining (extracting complexes),United States--Idaho--Shoshone County--Burke,Burke,47.519161,-115.735179,PG 8-X616n,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/645,645
Wallace (Idaho) 1920 [07],"Barnard Studio (Wallace, Idaho)",8/21/1920,,"Distant view of Wallace from tank Aug. 21, 1920.",towns,United States--Idaho--Shoshone County--Wallace,Wallace,47.469758,-115.915686,PG 8-X617a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/646,646
