Title	Creator	Description	Date	Subject	Keywords	Relation	Contributing Institution	Publisher Digital	Digital Collection Website	Source	Identifier	Publisher	Format Original	Type	Format	Digitization Specifications	Rights	Language	Date Digital	Coverage	Latitude	Longitude	Full text	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Pacific Northwest Power Company	Robinson, K.M.	Comments on the Bruces Eddy omnibus bill	1956-05-24	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Pacific Northwest Power Company; Robinson, K.M.; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-033		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/80	80	81.cpd	/dworshak/supp/80/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														) )  STATE OF IDAHO  O,.'-ICI: OF THt': GOVERNOR  ROBERT l!:.15MYLIl!:  GOVE....O..  BOISE  May 25, 1950  Mr. A. B. Curtis  Orofino  Idaho  Dear Bert:  Tharn' you for sending along a copy  of Henry's letter. I believe you are on the  right track. I visited with Henry this  morning about the problen. and I fear that  politics is going to dominate de eratic  attention to anything like this in this ses­sion.  But I think we have to keep up the  good work in any event.  rely,  GOVERNOR  RES:c 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/81	81	82.pdfpage	/dworshak/image/82.pdfpage
Letter from the Governor	Smylie, Robert E.	A letter to Bert Curtis regarding a meeting with Senator Dworshak	1956-05-25	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;  Dworshak, Henry C. (Henry Clarence), 1894-1962;  Smylie, Robert E. (Robert Eben), 1914-	Curtis, Bert; Dworshak, Henry C.; Smylie, Robert E.; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-034		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/82	82	83.cpd	/dworshak/supp/82/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														·0 ·" ..  WASHinGTOn WATER POWER COmPAny  SPOKRnE 10, WRSHlnGTOn  The Honorable A. B. Curtis  Mayor of the City of Orofino  Orofino, Idaho  Dear Bert:  1 have your letter of May 31, 1956 enclosing a copy of  the Trinity Dam Bill.  This bill has a couple of provisions which 1 think would  be very serious. The first is the llProvided" section in paragraph  I, requiring that the Secretary of Interior recommend proposals  for the sale of falling water "which agreement, if any. shall not  become effective until approved by Congress. tl  The second provision is in Section 4 of the bill, in the first  IIProvided'l section: I1That a first preference, to the extent of  Z5 per centum of such additional energy, shall be given, under  reclamation law, to preference customers II  The first provision I think would probably foreclose us from  ever getting congressional authorization in a congress such as we  have today, which may not be any better in the coming congressional  year.  The provision in Section 4 of the bill would make it impossible  for us to finance a dam if we had to allocate any of the power to  preference customers.  1 am sure that the bill you presented to Senator Dworshak is  much cleaner and has a greater opportunity of securing approval.  R.w 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/83	83	84.pdfpage	/dworshak/image/84.pdfpage
The Washington Water Power Company	Robinson, K.M.	Robinson offers comments on the revised Bruces Eddy Bill	1956-06-05	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Bruces Eddy; The Washington Water Power Company	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-035		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/84	84	85.cpd	/dworshak/supp/84/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														'O.~ _.' ..... ,-n  . -i.JHE WASHinGTOn WATER POWER COmPAny  SPOKRnE 10, WRSHlnGTOn  June 21, 1956  The Honorable A. B. Curtis  Mayor of the City of Orofino  Orofino. Idaho  Dear Bert:  Thanks for your letter of June 19. enclosing  a copy of a letter you received from Henry Dworshak.  It certainly is impossible to get anything of a  reasonable nature approved by the present politically­minded  Congress. I will be glad when they adjourn.  Sincerely.  R.w 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/85	85	86.pdfpage	/dworshak/image/86.pdfpage
The Washington Water Power Company	Robinson, K.M.	Robinson expresses frustration at getting the Bruces Eddy Bill through Congress	1956-06-21	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Bruces Eddy; The Washington Water Power Company	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-036		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/86	86	87.cpd	/dworshak/supp/86/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														Ir.·~ • I'J.!'ASe  Wa&h1ngton attJr PO\lflOr Coapany  lUne I he countiea rdc_lyed • total of QOre tban halt a anUon  dollars J.n prol rt.,. taxes this ltHk, representing t1n&l payments on the  \0. ahington ater Po.....r Compall7'. 1955 pt'Op4trty tax bill 1n Id9ho •  ."wP'a tau1 tax p&yaente in Nez Perce county tor 1955 amounted to  U66,020.06, accardin" to AIDert Cruber, Lolli.ton Dlrl.don ..napr tor  the coc:oa,ny.  ,}r.JNr Aid the t.ax is 'Up about 33,026 over the previo year. 'a  t.aU8 for 1955 on pro rtles in it, Idaho sonics area ct.re 132 per cent, or  more than $606,0CXl acre thar: three yeara ago, largely due to construcUon  of the COlI.p8ny l s Cabinet Go..... po er plant. in Bonner Count.y &no ot.her new  const.ructlon. In addition, '" P 1. paying arprodutelT 250,000 in other  taxel direcUy to th. St to of Idaho.  By counti••, . "'01 a 1,006,269 total 1955 property tAx pralflOllts in Idaho  lrel  ene...h, 24,765.43; noonsr, 448,10).64. Clearwater, '35,039.33;  Idlho, 41,805.76; 100tAnai, 187,S1l.62; "tab, $60,075.09; Le&gt;dl,  ~,6"3.38; Nez Perc., "'l66,~O.06; and .:J.o 08, 70,061.51.  ,,,,,,,  )l,w, A t.,. ~ U/ ;Jc.) ~ ~  S'7 -t. (.0 OM!l 107-..... ~ ~~  #AA- ;..." -';/ 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/87	87	88.pdfpage	/dworshak/image/88.pdfpage
The Washington Water Power Company Press Release	The Washington Water Power Company	A press release issued by the Washington Water Power Company, with handwritten notes by Bert Curtis	1956-06-21	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Bruces Eddy; The Washington Water Power Company	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-037		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/88	88	89.cpd	/dworshak/supp/88/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														RE5&lt;LUTICN NO. 16  WHLREAS, the Bruce's Eddy project on the north fork of the Clearwater River  is a great natural location for a mUltiple-purpose hydro-electric dam installa­tion,  and,  WH~~, annual flood damage of considerabl~ proportions whi~h exists on the  Clearwater River would be reduced materially ~nd major flood problems on the  Lower Columbia River would be importantly benefited by upstream storage as would  be provided by this proposed project, and,  WHffiEAS, the construction of this project would provide at least 240,000 new  kilowatts of electrical energy, so necessary to the Pacific NortNwest, and,  WH~~EAS, storage releases from this project would increase the firm energy at  cownstream generating plants, and,  WHEREAS, the construction of this project would m!ke more accessIble the stands  of tiober and the mineral deposits adjacent to the reservoir area, thus providjng  additional tonnage to be passed through the locks of lower Snake River ~nd  Co!u~bia River projects, and,  WHEREAS, at the present time the Pacific Northwest Company has a preliminary  permit under the Federal Power Commission for the development of this project, and,  WHEREAS, the Corps of .:ngineers have recommended that this project be adopted as  part of the comprehensive plan for multiple-purpose control of water resources of the  Columbia River Basin,  NO~, THfREFCRE, BE IT RCSCl.V-D, the Inland 2mpire t~aterways Association, in  regular meeting held in Yakima, Washinton, this 27th day, November, 1956, does  hereby urgently request the favorable consideration of the Congress of the  United States pass the necessary legislation for the partnership development of  this project under Federal Power Co~ission license or for the authorization of  this jJroject, and,  BE IT FURTHER RESOLVED that ~mmediate planning funds be P!~vided to bring this  project to a construction stage.  r: 17 FURTHER RfSQ.VED THAT ACOPY of this resolution be transmitted to each  2~d every rnereber of the Northwest Congressional Delegation, urging their indivi­dlnl  3~d collective support of the Bruce!s Lddy projettJ  • 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/89	89	90.pdfpage	/dworshak/image/90.pdfpage
Resolution 18		A resolution on the Bruces Eddy Project	1956-06-21	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-038		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/90	90	91.cpd	/dworshak/supp/90/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														April 8, 1957  • Howard R. Stinaon  Attorn87 At Law  Idaho Fir.t National Bank B1d Iding  Idoho Fallo, Idoho  Door HowordI  Thank you ror your lottor or April 1 on! I, too, IlIIl OOlT7 that I .b.od you  ...turd..,. aorrUng. I thought that """",th1og 01.0 had COlaO up ani perhapo  you were called. &W&,T.  I corta1nl;y had a verT pleuant vi.it at Idaho Fallo an&lt;! onjo78d the privilege  ot disCUBII1ng Bruce• .Pl1d.1 with you ard. ueociat... The tact. &!J1 figure_  with roforence to Bruce. l!lIdJ' woro Arrq Corps or &gineor. rigure. but I did  have a Chamber ot ColZlD8rc8 publication which I use in reference at times.  Ta 8ive you the correct intormation ant lOme of the reterenee material which  I uaod I IlIIl .eo:l1ng along in thi. mail eo... racto _ rigure. which I have  gath.rod along the """, 00'" or tho _po oncle.o:! I think will be ho1ptul to  lOu. It would be nic. to get acquaintod ani I hopo that you rol1o... can continuo  g1v1D& ua a boost up this war.  A. B. CURTIS  H..,.or  AP£/lrc 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/91	91	92.pdfpage	/dworshak/image/92.pdfpage
Letter from Bert Curtis	Curtis, Bert	A letter to Howard Stinson regarding Bruces Eddy	1957-04-08	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Stinson, Howard; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-039		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/92	92	93.cpd	/dworshak/supp/92/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														)  t ~ i-"~l  'el!r""""y  " C'l~"  Arr11 ~l;·7  J~lteJ ~t~t~'" ~0rprt ~~rv1~p  DI'"?" ., ..... c. + c P J..--r' "u~ t "' ...  Fourtepntr Ctrpct on~ In' ~ n~~nr~ Iv S~  'p"'~nC''' J.e.  :;)e"'" Sir:  I a ~o~ n- o c'udy o' tho 'c OP I" ' 3ru('p.Q  =d "y -~:r 0 "" r - "1 , r' 'l3""Er -i't,.. ver In listC',  ""d I ,.. &lt;f'~"r11!1e- tr(''' r r. lc He "'~?",  ev",41"b , 1 n"'or o"'on Ie r'"c '0 N rd.  I FlII: '-!"'~". r!- to rc :lI:!Q+ sny 4 r&o rlI"tlc'1 on  t~F. forp,," rppourc~ di~'" ~1on o~ t~'" rro:"'ct  . h4 ("r "0'1'" .. '" 1"" ... 4 .... "' .. !"'''v ",\,&lt;&gt;41"':'~c. 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/93	93	94.pdfpage	/dworshak/image/94.pdfpage
Page 2									http://www.lib.uidaho.edu/digital/dworshak/														IIo.r 14, 1957  lJ.rda J. K••ter  Bato. Ball  ellool.,. Coli.o  ilellool.,. 81, lluoachuaett.  Dear H1ae leeter I  Your lotter to the Dnitoe! Stat.. Foroat Service DopartlllOllt of Agriculture, W••hington  D.C., rogarding thtl Bruce'. lMd:T project hu boon reforrocl to this office tor repq.  I .. enclo.ing therewith a up or t"" which will give 10U lO\lch of tho infonoation 10U  require. The Bruce'. &lt;IT pool 10 entirol;r .urroundocl 1&gt;7 foroat land. Much of tho  foro.t land 10 in State, privato an! Focloral ownor.hip. Approx1mat~ t"" lIillion  acre. of important timbor producing land. MrO in the drainago aroa of tho North Fork  of the Cloarvator Ri.er. Thia 10U can ...ilT cOlllPUte with tho enclo.oe! up. Tho  drainago of tho Cl_tor Ri.,.r 10 wall known to he 80... of tho finoat fore.t land  in the eoum17_ The area 1msd1atel7 up atreaa tro. the upper lbd.t. or the pool 1.  almo.t ontirol;r focloral land vhoro .. down .tr.... fro. tho upper lilIIit. of tho pool  16 larsel7 state l.ar¥1 With considerable acresge in various private ownerab1pe.  By far the «roator portion of Stato an! Foe!oral land. an! in part the privato land.  are now quit. inaccoa.iblo. Much of this tabor area lio. in a difficult rogion an!  poor lIIU1&&~t or the tOrelit land. reeulta •. For &ood mana,ge:.nt of thee. lande, forest  tires. ir..aect. an! d1.a...., an:t acceaaib1l1t,. u 10u u::J vell. Imow 18 ot ut...t ~  portonco. Th. Bruco'. &lt;IT daa will return W1-told benorit. to our Foe!eral, Stato  an! privato orpnioationa an! -kine it po••iblo to orfoct bettor land__nt an!  good lard. use. Theae resource. are in dire need. ot good development in the inter.atl  of the _ple of this region. .  Thoro hu boon oomo o_.ition 1&gt;7 wild lifo organiaationa which i. _irol¥ W1-foundoe!.  Tho projoct will not hurt or t~ halp vlJdl1fe r_urcoa but will he of diatinct  benofit toour lako ad .troaa fi.hing .inco over ,000,000 10 plannocl in tho budget  to .. f10h facUitio.. Thi. principoJ.l3' will be f10h hatchorie. buUt in up  .tr..... ar... to orford good .tocking of tho lako which will be croatoe!. Idaho(o big  game herd liov fl'OOl :20 to 75 ad.le. above tho upper lilIIito of tho novaso area an! tho  pool will have no effect upon tho wintor hobitate ot tho all&lt; an! door. It 10 tho  opinion of tho old tilllora of thio region that tho otill vatera of the lake will 1m­pro'"  tho .ituation oinco 80 .alIT~ an! door 10.. thoir livaa in croaaing treachorous  ice on the Caat a:xl &lt;1.an&eroua water. ot the rlVel".  PI.... not. inclo.ocI .tatOlllOllta of local fi.h an! wild lifo authority. 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/94	94	95.pdfpage	/dworshak/image/95.pdfpage
Page 3									http://www.lib.uidaho.edu/digital/dworshak/														L1rda J. Kester  Bates Hall  welleal.,. College  Wenealq 81, Massachusetts  I hope that I have g1ven you some information JOu want and. should JOU reguire Jl)re  datail pl._e odvise an:! we will be .. hlept\ll .. possible. I IIl1&ht suggest lOU  &gt;&lt;rita Governor Robert 5IIITlle, Gov~r State or Idaho, Boise, Idaho an:! Col. I\fron  Pags, Arrtl/f Corps or blgine.,.s, U.S. Corps or blgine.,.., Wall& Wall& District at Wall&  Walla, Washington tor their views.  Sincerely yours,  A.B. Curtis, State Fire warden  lo.f!£/rJ 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/95	95	96.pdfpage	/dworshak/image/96.pdfpage
Bruces Eddy information request	Kester, Linda J.; Curtis, Bert	A letter to Bert Curtis requesting information on the Bruces Eddy Dam and Bert Curtis's response	1957-04-24	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Bruces Eddy; Kester, Linda J.; Wellesley College;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-040		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/96	96	97.cpd	/dworshak/supp/96/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														• •  ~ot-c E 11  'ell &lt;"lpv :o~, eve  . ellp 1 p.~ Fl, • "''''''''c~ u&lt;::pt t~  J..e~1 P, 191::7  Orofino Chernb~r o~ Con rce  Oroft no, Ic"'!'1o  Dp~r 511"':  I ac ~~!r~ a ~~"~y o~ +h ~ cr~p~~ ~u~e~ Ede"  D~:r 0 .... t!'"F? ,.. per' 0+1"[" "'1~'er, a ~ I ~ .... in~~n ....  tbet t;pI"P 1r +1--.,. 0"'+, 3""1'''' '", 10 ....0 ,..pt'on  1'" b~r1 to .... ln~. It 1'" T"rt!rul~r]~· dl ........ 1~ult  to loc"'tp rratrr10l l~QrPQ bv rrorcr~r.t., of  the '[ro.'pc-t .  I p. . .... t ~..,... + co "' .. :{ 1.... •  ~+ .. + p~+a or 'n~or  ..,4 "'r:+1 en t~'"  ttl le.  31n  Lind"" .;. Kp.,ter 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/97	97	98.pdfpage	/dworshak/image/98.pdfpage
Page 2									http://www.lib.uidaho.edu/digital/dworshak/														Kay lA, 1957  I.1J:¥la J. Keater  BateI' Hall  Welloale,' Coll.o  'elloale,' 81, Ilaaoachuootto  Dear M:1.aa Xester:  I hope that I am not burdoning you with too IllUch 1n!orution on tho Bruco'. Pl:Iely  project. We are very anxious to be as helpful as JlOl!!I81ble to those who are interest«l  in tho Bruco' 0 Pl:I&lt;l7 arguOlllOllt &Ix! I hope that you can uk. good us, ot tho Il&toriol  bo1ns aent you.  I am enclosing a number of resolutions and a:preaalona fro. Chuber of Co..-rces &D1  othor orpni..tiona ot thia aroo. 'I'hanlt you "f&gt;r7 k1n&lt;lly tor your int.root &n&lt;l it  we can be or an:r further assist_nee pleaae advise.  Sincere1.7 yours,  A.B. Curtia, Cha1run  water Resources CoDl1tt.8  Orotino Cha!:Ibor ot Co_rco  MYJ/rj 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/98	98	99.pdfpage	/dworshak/image/99.pdfpage
Bruces Eddy information request	Kester, Linda J.; Curtis, Bert	A letter to Bert Curtis requesting information on the Bruces Eddy Dam and Bert Curtis's response	1957-05-08	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Bruces Eddy; Kester, Linda J.; Wellesley College;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-041		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/99	99	100.cpd	/dworshak/supp/99/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														F. S. SMTTHEHS & Co.  • '"...... ' ....D IlOa,  .......DERl!  :tlll:'" TORK .TOeS BXCtlANOI:  ........RJeaN lJTQCIC 1&lt;XCHA.'&lt;Ol':  1 ''fALL STREET  NEW YORK 5, N. Y  WH'TEIlA.LL 0-3300  Cto.BLE .Il.DDR.I':SS "UXOllllSloIITU"  RUSS nUILDIS"O  "''''''1 .......NC'!SCO 4.CA..l...  OARF'ELD 1- 28;";1  r&lt;1ay 15, 1957  Clearwater Dams Association  Oroflno~  Idaho  Gentlemen:  While on a recent trip to the Northwest  I picked up your folder promoting Bruce's Eddy  Dam.  OUr most recent information about this  proposed project is that the Pacific Northwest  Power Company was granted a permit; Will you  please advise us as to the current status of the  project, and if it has been determined that the  Pacific Northwest Power Company 1s not going to  build the dam, would you tell us what thought  has been given to construction of the project by  others?  Thank you very much.  Very truly yours,  ACS:mh  . I 9 57  J  "'0- ~ ,  ~  (/1(- ..;M&gt;Q, ~..;:A. ~--Cl-­~  .Pr-" '1------ ~ -'1--  \..oLe e- ~ ~ - ~--lo . ~  1857 One 'Hundredth Anniversary 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/100	100	101.pdfpage	/dworshak/image/101.pdfpage
Page 2									http://www.lib.uidaho.edu/digital/dworshak/														/  Ila)' 22. 1957  Alfred C. 8Ilep..4  r .1. a.1t1lan • CD.  1 VAll Itroot  _ Yorl&lt; 5. _ Yorl&lt;  Dear Ilr. 1bapar4,  In r.,l)' to )'Our 1.tt.r of Ila)' 15. 1957 exmc.milll tIla Bruc.'. BcIcI)' ,roj.ct oa4 )'OUr  letter wrltteD to the CI.arwater ~ AI~cl.tioD of Orofluo.  !lao r ..Ulc Ilortboopt r_r ~_ ba _ p'..ed • ,._t to .tuel)' tlla Bruc.'.  IcI4y .1t.. !lao)' ....tUl ••rr -.ch lIIt....t.4 111 tIla poo.lblUU.. of • , .._nhlp  ,lao _ .. .,. tho)' cou14 buU4 oa4 ,0)' for tIla h)'4ro t1oll oa4 tr-.1o.lII. 11Du.  _ of tIla _flu aD tIla Bruce'. BcIcIr ,roj.ct tu4la4 .,. tha Anq CD.,. of  ....l.aaan lo for floocl coatro1 oa4 _lIOt1o.. It lo DOt f...n1••trlctl)' .. hy4ro­l_  r.t1oll, accor41J1a to tIoa Anq CD.,. of ....1aM....1Dca floo4 CODtrol _ ...1-  ..t1o. 111 tIoa optS... _l_t of tho Ilortll rorl&lt; of tIoa C1......tor U ..r lo eo S­portat.  Ilo 1..lol.t1oll for ,..-••hlp _truct1o. ba beaD lIIt_4 lIIto thlo CD.......  _tor Quave. of __leo ba 1Dc1uU4 tha Bruce'. BcIcIr ,roj.ct 10 .lo _'DOUG bl11  _to 497 lIItro4uc.4 J_rr 1957 111 tho 15th CD......... Tho 1.llo1.t1o. 111 thlo 111­atuc.  callI for Itra1&bt faderal COUtructloD. 8uJ'iDp have been bald I.D the  ,ubUc ""rka _ttt.., tho bl11 ba 01....4 thlo _n.. .._11 .. tIoa U. I.  _to with 11114 0fP0*1o. f.. _or -.... _ lIOrrlo of OrO&O•• _ ...  prlDc1pal "po_. of VU4 1U. o.a_l..t1oDo oa4 ... oppoo.4 to tho _1o_t. At  tho , ..._t tS- _ fool that _ 1..1.1.t1oll rill .. tat_.4 .._ttilll _ to  participate kfon co_truc.tloD tSM.  va an ¥orr lIed that )'OD an tot.....ed 111 tIla Bruce'. IcI4y ,roj.ct _ I hope that  you ,,111 DOt O'Hrlook mopportuaJ.t7 to Cift our project :.s booet abou!4 .. oceu1oa M  ,_t.4.  lacaret,. youra,  •  A.I. Curtu, Mayor  AX/.j 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/101	101	102.pdfpage	/dworshak/image/102.pdfpage
